$0;1753064332960374200;1.14;KIEKER-SINGLETON;4180L-212561-W;1;false;0;NANOSECONDS;0
$1;1753064364313718200;public void org.mybatis.jpetstore.domain.Product.setCategoryId(java.lang.String);<no-session-id>;676806581500772409;1753064364313713200;1753064364313715500;4180L-212561-W;49;2
$1;1753064364314266600;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.service.CatalogService.getProduct(java.lang.String);<no-session-id>;676806581500772409;1753064364311325700;1753064364314235900;4180L-212561-W;44;1
$1;1753064364314303300;public net.sourceforge.stripes.action.ForwardResolution org.mybatis.jpetstore.web.actions.CatalogActionBean.viewProduct();<no-session-id>;676806581500772409;1753064364283934200;1753064364314300600;4180L-212561-W;0;0
$1;1753064365573216300;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;676806581500772410;1753064365573206700;1753064365573209800;4180L-212561-W;0;0
$1;1753064365573380300;public java.lang.String org.mybatis.jpetstore.web.actions.CatalogActionBean.getKeyword();<no-session-id>;676806581500772411;1753064365573374700;1753064365573376800;4180L-212561-W;0;0
$1;1753064365573718000;public net.sourceforge.stripes.action.ActionBeanContext org.mybatis.jpetstore.web.actions.AbstractActionBean.getContext();<no-session-id>;676806581500772412;1753064365573711800;1753064365573714200;4180L-212561-W;0;0
$1;1753064365577618500;public org.mybatis.jpetstore.web.actions.AbstractActionBean.<init>();<no-session-id>;676806581500772413;1753064365577609700;1753064365577612500;4180L-212561-W;0;0
$1;1753064365577682500;public org.mybatis.jpetstore.web.actions.CatalogActionBean.<init>();<no-session-id>;676806581500772414;1753064365577677800;1753064365577679700;4180L-212561-W;0;0
$1;1753064365578276300;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.web.actions.CatalogActionBean.getProduct();<no-session-id>;676806581500772415;1753064365578253200;1753064365578270800;4180L-212561-W;0;0
$1;1753064365578564800;public java.lang.String org.mybatis.jpetstore.domain.Product.getCategoryId();<no-session-id>;676806581500772416;1753064365578546100;1753064365578560300;4180L-212561-W;0;0
$1;1753064365578762400;public org.mybatis.jpetstore.domain.Product org.mybatis.jpetstore.web.actions.CatalogActionBean.getProduct();<no-session-id>;676806581500772417;1753064365578756600;1753064365578758700;4180L-212561-W;0;0
$1;1753064365578819000;public java.lang.String org.mybatis.jpetstore.domain.Product.getCategoryId();<no-session-id>;676806581500772418;1753064365578814200;1753064365578816100;4180L-212561-W;0;0
